Framework,CVE ID,Reference URLs
,CVE-1999-1142,"['http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/116', 'http://www.cert.org/advisories/CA-1992-11.html', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/3152']"
,CVE-1999-0168,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0168']
,CVE-1999-0214,['https://www.cve.org/CVERecord?id=CVE-1999-0214']
,CVE-1999-1396,"['http://www.cert.org/advisories/CA-1992-15.html', 'http://www.iss.net/security_center/static/7150.php', 'http://www.securityfocus.com/bid/49']"
,CVE-1999-1395,"['http://osvdb.org/59332', 'http://www.cert.org/advisories/CA-1992-18.html', 'http://www.cert.org/advisories/CA-92.16.VMS.Monitor.vulnerability', 'http://www.iss.net/security_center/static/7136.php', 'http://www.securityfocus.com/bid/51']"
,CVE-1999-1306,['http://www.cert.org/advisories/CA-1992-20.html']
,CVE-1999-1466,"['http://www.cert.org/advisories/CA-1992-20.html', 'http://www.securityfocus.com/bid/53']"
,CVE-1999-1021,"['http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/117&type=0&nav=sec.sba', 'http://www.cert.org/advisories/CA-1992-15.html', 'http://www.securityfocus.com/bid/47', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/82']"
,CVE-1999-1056,[]
,CVE-1999-0312,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0312']
,CVE-1999-1507,"['http://www.cert.org/advisories/CA-1993-03.html', 'http://www.securityfocus.com/bid/59', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/521']"
,CVE-1999-1218,"['http://www.cert.org/advisories/CA-1993-04.html', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/522']"
,CVE-1999-1312,"['http://www.cert.org/advisories/CA-1993-05.html', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/7142']"
,CVE-1999-1216,"['http://ciac.llnl.gov/ciac/bulletins/d-15.shtml', 'http://www.cert.org/advisories/CA-1993-07.html', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/541']"
,CVE-1999-1162,"['http://www.cert.org/advisories/CA-1993-08.html', 'http://www.iss.net/security_center/static/542.php']"
,CVE-1999-0124,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0124']
,CVE-1999-1215,"['http://ciac.llnl.gov/ciac/bulletins/d-21.shtml', 'http://www.cert.org/advisories/CA-1993-12.html', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/545']"
,CVE-1999-1138,"['http://www.cert.org/advisories/CA-1993-13.html', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/546']"
,CVE-1999-1318,"['http://sunsolve.sun.com/pub-cgi/retrieve.pl?doc=fpatches%2F100630&zone_32=112193%2A%20', 'http://www.iss.net/security_center/static/7480.php']"
,CVE-1999-0145,"['http://seclists.org/fulldisclosure/2019/Jun/16', 'http://www.alw.nih.gov/Security/Docs/admin-guide-to-cracking.101.html', 'http://www.cert.org/advisories/CA-1990-11.html', 'http://www.cert.org/advisories/CA-1993-14.html', 'http://www.openwall.com/lists/oss-security/2019/06/05/4', 'http://www.openwall.com/lists/oss-security/2019/06/06/1', 'http://www2.dataguard.no/bugtraq/1995_1/0332.html']"
