URL,Repo Name,Date,CVE ID,CVE Severity,Name,Component Type,Ownership,Num of Contributor,Num of Minor 5%,Per of Minor 5%,Avg of Minor Contri 5%,Num of Minor 10%,Per of Minor 10%,Avg of Minor Contri 10%,Num of Minor 20%,Per of Minor 20%,Avg of Minor Contri 20%,Num of Minor 50%,Per of Minor 50%,Avg of Minor Contri 50%,Days Difference,Release Info,Time Stage,Oss Stage,Age,Release Info Aged,Time Stage Aged,Oss Stage Aged,License Info,License Type,Total Added,Total Deleted,File Size,Is Defective
https://github.com/tensorflow/tensorflow/commit/216525144ee7c910296f5b05d214ca1327c9ce48,tensorflow,2022-10-24T21:30:10Z,CVE-2022-41900,9.8,tensorflow/tensorflow/python/kernel_tests/nn_ops/fractional_avg_pool_op_test.py,file,0.2857142857142857,9,0,0.0,0,7,0.7777777777777778,0.07142857142857141,7,0.7777777777777778,0.07142857142857141,9,1.0,0.11111111111111109,2544,"[2, 31, 87, 53, 4]",t5,SI,2150,"[2, 25, 81, 52, 4]",t5,SI,Apache,permissive,714,182,567,True
https://github.com/tensorflow/tensorflow/commit/216525144ee7c910296f5b05d214ca1327c9ce48,tensorflow,2022-10-24T21:30:10Z,CVE-2022-41900,9.8,tensorflow/tensorflow/python/kernel_tests/nn_ops/fractional_max_pool_op_test.py,file,0.23809523809523808,12,9,0.75,0.047619047619047616,9,0.75,0.047619047619047616,11,0.9166666666666666,0.06926406926406928,12,1.0,0.08333333333333336,2544,"[2, 31, 87, 53, 4]",t5,SI,2219,"[2, 26, 84, 52, 4]",t5,SI,Apache,permissive,844,177,676,True
https://github.com/tensorflow/tensorflow/commit/d71090c3e5ca325bdf4b02eb236cfb3ee823e927,tensorflow,2022-09-28T18:08:21Z,CVE-2022-41897,7.5,tensorflow/tensorflow/core/kernels/fractional_max_pool_op.cc,file,0.6923076923076923,4,0,0.0,0,2,0.5,0.07692307692307693,3,0.75,0.10256410256410257,3,0.75,0.10256410256410257,2518,"[2, 31, 85, 53, 4]",t5,SI,2148,"[2, 25, 79, 52, 4]",t5,SI,Apache,permissive,529,128,401,True
https://github.com/tensorflow/tensorflow/commit/d71090c3e5ca325bdf4b02eb236cfb3ee823e927,tensorflow,2022-09-28T18:08:21Z,CVE-2022-41897,7.5,tensorflow/tensorflow/python/kernel_tests/nn_ops/fractional_max_pool_op_test.py,file,0.2,12,9,0.75,0.049999999999999996,9,0.75,0.049999999999999996,12,1.0,0.08333333333333336,12,1.0,0.08333333333333336,2518,"[2, 31, 85, 53, 4]",t5,SI,2148,"[2, 25, 79, 52, 4]",t5,SI,Apache,permissive,825,176,658,True
https://github.com/tensorflow/tensorflow/commit/717ca98d8c3bba348ff62281fdf38dcb5ea1ec92,tensorflow,2022-10-12T19:41:46Z,CVE-2022-41895,7.5,tensorflow/tensorflow/core/kernels/image/mirror_pad_op.cc,file,0.3181818181818182,12,8,0.6666666666666666,0.04545454545454546,10,0.8333333333333334,0.05454545454545455,11,0.9166666666666666,0.061983471074380174,12,1.0,0.08333333333333331,2532,"[2, 31, 85, 53, 4]",t5,SI,1979,"[1, 23, 73, 51, 3]",t5,SI,Apache,permissive,1109,606,457,True
https://github.com/tensorflow/tensorflow/commit/717ca98d8c3bba348ff62281fdf38dcb5ea1ec92,tensorflow,2022-10-12T19:41:46Z,CVE-2022-41895,7.5,tensorflow/tensorflow/python/kernel_tests/array_ops/array_ops_test.py,file,0.19823788546255505,71,68,0.9577464788732394,0.009393625291526306,70,0.9859154929577465,0.01145374449339207,71,1.0,0.014084507042253521,71,1.0,0.014084507042253521,2532,"[2, 31, 85, 53, 4]",t5,SI,2448,"[2, 31, 85, 53, 4]",t5,SI,Apache,permissive,6061,3433,2460,True
https://github.com/tensorflow/tensorflow/commit/f5381e0e10b5a61344109c1b7c174c68110f7629,tensorflow,2022-09-30T20:33:07Z,CVE-2022-41883,7.5,tensorflow/tensorflow/core/common_runtime/eager/execute.cc,file,0.17064846416382254,47,41,0.8723404255319149,0.009406476317322896,44,0.9361702127659575,0.013651877133105813,47,1.0,0.021276595744680864,47,1.0,0.021276595744680864,2520,"[2, 31, 85, 53, 4]",t5,SI,1556,"[1, 16, 55, 46, 3]",t5,SI,Apache,permissive,6433,4260,2144,True
https://github.com/tensorflow/tensorflow/commit/f5381e0e10b5a61344109c1b7c174c68110f7629,tensorflow,2022-09-30T20:33:07Z,CVE-2022-41883,7.5,tensorflow/tensorflow/python/kernel_tests/data_structures/dynamic_stitch_op_test.py,file,0.3103448275862069,17,14,0.8235294117647058,0.03448275862068966,15,0.8823529411764706,0.036781609195402305,16,0.9411764705882353,0.043103448275862065,17,1.0,0.058823529411764684,2520,"[2, 31, 85, 53, 4]",t5,SI,2186,"[2, 26, 81, 52, 4]",t5,SI,Apache,permissive,683,323,313,True
https://github.com/tensorflow/tensorflow/commit/b389f5c944cadfdfe599b3f1e4026e036f30d2d4,tensorflow,2022-10-06T23:33:46Z,CVE-2022-41880,9.1,tensorflow/tensorflow/core/kernels/candidate_sampler_ops.cc,file,0.15384615384615385,9,0,0.0,0,5,0.5555555555555556,0.07692307692307693,9,1.0,0.1111111111111111,9,1.0,0.1111111111111111,2526,"[2, 31, 85, 53, 4]",t5,SI,2104,"[2, 24, 79, 52, 4]",t5,SI,Apache,permissive,318,50,267,True
https://github.com/tensorflow/tensorflow/commit/b389f5c944cadfdfe599b3f1e4026e036f30d2d4,tensorflow,2022-10-06T23:33:46Z,CVE-2022-41880,9.1,tensorflow/tensorflow/python/kernel_tests/random/candidate_sampler_ops_test.py,file,0.25,12,0,0.0,0,10,0.8333333333333334,0.0625,11,0.9166666666666666,0.06818181818181818,12,1.0,0.08333333333333333,2526,"[2, 31, 85, 53, 4]",t5,SI,2186,"[2, 26, 81, 52, 4]",t5,SI,Apache,permissive,196,61,132,True
