URL,Repo Name,Name,Component Type,Ownership,Num of Contributor,Num of Minor 5%,Per of Minor 5%,Avg of Minor Contri 5%,Num of Minor 10%,Per of Minor 10%,Avg of Minor Contri 10%,Num of Minor 20%,Per of Minor 20%,Avg of Minor Contri 20%,Num of Minor 50%,Per of Minor 50%,Avg of Minor Contri 50%,Days Difference,Release Info,Time Stage,Oss Stage,Age,Release Info Aged,Time Stage Aged,Oss Stage Aged,License Info,License Type,Total Added,Total Deleted,File Size,Is Defective
https://github.com/tensorflow/tensorflow,tensorflow,tensorflow/ISSUE_TEMPLATE.md,file,0.14634146341463414,26,22,0.8461538461538461,0.027716186252771623,25,0.9615384615384616,0.034146341463414644,26,1.0,0.03846153846153847,26,1.0,0.03846153846153847,2860,"[2, 34, 95, 58, 4]",t5,SI,2769,"[2, 32, 95, 58, 4]",t5,SI,Apache,permissive,246,188,42,False
https://github.com/tensorflow/tensorflow,tensorflow,tensorflow/LICENSE,file,0.15384615384615385,10,0,0.0,0,7,0.7,0.07692307692307694,10,1.0,0.1,10,1.0,0.1,2860,"[2, 34, 95, 58, 4]",t5,SI,2872,"[2, 34, 95, 58, 4]",t5,SI,Apache,permissive,482,276,251,False
https://github.com/tensorflow/tensorflow,tensorflow,tensorflow/README.md,file,0.0810126582278481,143,141,0.986013986013986,0.006068767393841471,143,1.0,0.006993006993007005,143,1.0,0.006993006993007005,143,1.0,0.006993006993007005,2860,"[2, 34, 95, 58, 4]",t5,SI,2872,"[2, 34, 95, 58, 4]",t5,SI,Apache,permissive,1744,1415,175,False
https://github.com/tensorflow/tensorflow,tensorflow,tensorflow/RELEASE.md,file,0.18022657054582905,242,241,0.9958677685950413,0.003401549499809846,241,0.9958677685950413,0.003401549499809846,242,1.0,0.004132231404958688,242,1.0,0.004132231404958688,2860,"[2, 34, 95, 58, 4]",t5,SI,2841,"[2, 34, 95, 58, 4]",t5,SI,Apache,permissive,12872,4172,11274,False
https://github.com/tensorflow/tensorflow,tensorflow,tensorflow/SECURITY.md,file,0.15555555555555556,20,14,0.7,0.026984126984126982,17,0.85,0.033986928104575154,20,1.0,0.05000000000000001,20,1.0,0.05000000000000001,2860,"[2, 34, 95, 58, 4]",t5,SI,2061,"[1, 22, 73, 53, 3]",t5,SI,Apache,permissive,552,266,287,False
https://github.com/tensorflow/tensorflow,tensorflow,tensorflow/WORKSPACE,file,0.17733990147783252,50,44,0.88,0.011195700850873262,49,0.98,0.01678898160249321,50,1.0,0.019999999999999997,50,1.0,0.019999999999999997,2860,"[2, 34, 95, 58, 4]",t5,SI,2872,"[2, 34, 95, 58, 4]",t5,SI,Apache,permissive,3092,2950,88,False
https://github.com/tensorflow/tensorflow,tensorflow,tensorflow/arm_compiler.BUILD,file,0.25,6,0,0.0,0,0,0.0,0,4,0.6666666666666666,0.125,6,1.0,0.16666666666666666,2860,"[2, 34, 95, 58, 4]",t5,SI,2245,"[1, 25, 79, 55, 3]",t5,SI,Apache,permissive,190,34,75,False
https://github.com/tensorflow/tensorflow,tensorflow,tensorflow/configure,file,0.11351351351351352,72,68,0.9444444444444444,0.01017488076311605,71,0.9861111111111112,0.012485725161781489,72,1.0,0.013888888888888878,72,1.0,0.013888888888888878,2860,"[2, 34, 95, 58, 4]",t5,SI,2872,"[2, 34, 95, 58, 4]",t5,SI,Apache,permissive,2824,3318,15,False
https://github.com/tensorflow/tensorflow,tensorflow,tensorflow/configure.cmd,file,0.5,2,0,0.0,0,0,0.0,0,0,0.0,0,2,1.0,0.5,2860,"[2, 34, 95, 58, 4]",t5,SI,1550,"[1, 14, 51, 47, 0]",t5,SI,Apache,permissive,21,1,20,False
https://github.com/tensorflow/tensorflow,tensorflow,tensorflow/configure.py,file,0.18518518518518517,121,117,0.9669421487603306,0.005426672093338768,120,0.9917355371900827,0.006790123456790133,121,1.0,0.008264462809917364,121,1.0,0.008264462809917364,2860,"[2, 34, 95, 58, 4]",t5,SI,2246,"[1, 25, 79, 55, 3]",t5,SI,Apache,permissive,7813,5157,1457,False
https://github.com/tensorflow/tensorflow,tensorflow,tensorflow/models.BUILD,file,1.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2860,"[2, 34, 95, 58, 4]",t5,SI,2505,"[2, 29, 89, 57, 4]",t5,SI,Apache,permissive,20,2,18,False
https://github.com/tensorflow/tensorflow,tensorflow,tensorflow/requirements_lock_3_10.txt,file,1.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2860,"[2, 34, 95, 58, 4]",t5,SI,95,"[0, 1, 3, 1, 0]",t3,IG,Apache,permissive,1086,655,431,False
https://github.com/tensorflow/tensorflow,tensorflow,tensorflow/requirements_lock_3_11.txt,file,1.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2860,"[2, 34, 95, 58, 4]",t5,SI,95,"[0, 1, 3, 1, 0]",t3,IG,Apache,permissive,1086,655,431,False
https://github.com/tensorflow/tensorflow,tensorflow,tensorflow/requirements_lock_3_9.txt,file,1.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2860,"[2, 34, 95, 58, 4]",t5,SI,95,"[0, 1, 3, 1, 0]",t3,IG,Apache,permissive,1108,669,439,False
