URL,Repo Name,Date,CVE ID,CVE Severity,Name,Component Type,Ownership,Num of Contributor,Num of Minor 5%,Per of Minor 5%,Avg of Minor Contri 5%,Num of Minor 10%,Per of Minor 10%,Avg of Minor Contri 10%,Num of Minor 20%,Per of Minor 20%,Avg of Minor Contri 20%,Num of Minor 50%,Per of Minor 50%,Avg of Minor Contri 50%,Days Difference,Release Info,Time Stage,Oss Stage,Age,Release Info Aged,Time Stage Aged,Oss Stage Aged,License Info,License Type,Total Added,Total Deleted,File Size
https://github.com/opencv/opencv/commit/7bbe1a53cfc097b82b1589f7915a2120de39274c,opencv,2017-12-21T01:10:24Z,CVE-2017-17760,6.5,opencv/modules/imgcodecs/src/grfmt_pxm.cpp,file,0.17647058823529413,12,0,0.0,0,9,0.75,0.058823529411764705,12,1.0,0.08333333333333333,12,1.0,0.08333333333333333,2780,"[0, 0, 0, 0, 0]",t5,TI,2653,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive,636,93,543
https://github.com/tensorflow/tensorflow/commit/3ade2efec2e90c6237de32a19680caaa3ebc2845,tensorflow,2020-08-08T00:47:35Z,CVE-2020-15266,7.5,tensorflow/tensorflow/core/kernels/image/crop_and_resize_op.cc,file,0.35,16,14,0.875,0.030357142857142867,14,0.875,0.030357142857142867,14,0.875,0.030357142857142867,16,1.0,0.06250000000000001,1736,"[2, 24, 62, 18, 4]",t5,SI,1527,"[2, 21, 61, 17, 4]",t5,SI,Apache,permissive,4062,2999,888
https://github.com/tensorflow/tensorflow/commit/3ade2efec2e90c6237de32a19680caaa3ebc2845,tensorflow,2020-08-08T00:47:35Z,CVE-2020-15266,7.5,tensorflow/tensorflow/python/ops/image_ops_test.py,file,0.19921875,83,79,0.9518072289156626,0.0076147151898734175,82,0.9879518072289156,0.009765625,83,1.0,0.012048192771084338,83,1.0,0.012048192771084338,1736,"[2, 24, 62, 18, 4]",t5,SI,1762,"[2, 24, 62, 18, 4]",t5,SI,Apache,permissive,11303,3948,5686
https://github.com/tensorflow/tensorflow/commit/3cbb917b4714766030b28eba9fb41bb97ce9ee02,tensorflow,2020-09-19T01:15:03Z,CVE-2020-15198,5.4,tensorflow/tensorflow/core/kernels/count_ops.cc,file,1.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1778,"[2, 24, 62, 18, 4]",t5,SI,13,"[0, 0, 0, 0, 0]",t2,II,Apache,permissive,703,393,310
https://github.com/tensorflow/tensorflow/commit/3cbb917b4714766030b28eba9fb41bb97ce9ee02,tensorflow,2020-09-19T01:15:03Z,CVE-2020-15198,5.4,tensorflow/tensorflow/python/ops/bincount_ops_test.py,file,0.6666666666666666,3,0,0.0,0,0,0.0,0,2,0.6666666666666666,0.16666666666666666,2,0.6666666666666666,0.16666666666666666,1778,"[2, 24, 62, 18, 4]",t5,SI,60,"[0, 1, 0, 0, 0]",t2,TG,Apache,permissive,1103,265,838
https://github.com/tensorflow/tensorflow/commit/72c0bdcb25305b0b36842d746cc61d72658d2941,tensorflow,2022-10-05T17:03:52Z,CVE-2022-41894,8.1,tensorflow/tensorflow/lite/kernels/internal/reference/conv3d_transpose.h,file,0.5,2,0,0.0,0,0,0.0,0,0,0.0,0,2,1.0,0.5,2525,"[2, 31, 85, 53, 4]",t5,SI,453,"[0, 5, 13, 20, 0]",t4,SI,Apache,permissive,138,3,135
https://github.com/tensorflow/tensorflow/commit/1b85a28d395dc91f4d22b5f9e1e9a22e92ccecd6,tensorflow,2022-05-03T19:47:21Z,CVE-2022-29210,5.5,tensorflow/tensorflow/core/framework/tensor_key.h,file,0.5714285714285714,4,0,0.0,0,0,0.0,0,3,0.75,0.14285714285714285,3,0.75,0.14285714285714285,2370,"[2, 29, 80, 43, 4]",t5,SI,672,"[0, 6, 20, 25, 0]",t4,SI,Apache,permissive,92,15,77
https://github.com/tensorflow/tensorflow/commit/1b85a28d395dc91f4d22b5f9e1e9a22e92ccecd6,tensorflow,2022-05-03T19:47:21Z,CVE-2022-29210,5.5,tensorflow/tensorflow/python/kernel_tests/data_structures/BUILD,file,0.3333333333333333,4,0,0.0,0,0,0.0,0,2,0.5,0.16666666666666666,4,1.0,0.25,2370,"[2, 29, 80, 43, 4]",t5,SI,198,"[0, 2, 5, 7, 0]",t3,SI,Apache,permissive,294,3,291
https://github.com/opencv/opencv/commit/d1615ba11a93062b1429fce9f0f638d1572d3418,opencv,2019-05-27T06:18:26Z,CVE-2019-19624,6.5,opencv/modules/video/src/dis_flow.cpp,file,0.3333333333333333,5,0,0.0,0,0,0.0,0,4,0.8,0.16666666666666666,5,1.0,0.19999999999999998,3302,"[0, 0, 0, 0, 0]",t5,TI,200,"[0, 0, 0, 0, 0]",t3,II,Apache,permissive,1800,209,1591
https://github.com/opencv/opencv/commit/d1615ba11a93062b1429fce9f0f638d1572d3418,opencv,2019-05-27T06:18:26Z,CVE-2019-19624,6.5,opencv/modules/video/test/test_OF_accuracy.cpp,file,0.5,2,0,0.0,0,0,0.0,0,0,0.0,0,2,1.0,0.5,3302,"[0, 0, 0, 0, 0]",t5,TI,198,"[0, 0, 0, 0, 0]",t3,II,Apache,permissive,175,0,175
