URL,Repo Name,Date,Name,Component Type,Ownership,Num of Contributor,Num of Minor 5%,Per of Minor 5%,Avg of Minor Contri 5%,Num of Minor 10%,Per of Minor 10%,Avg of Minor Contri 10%,Num of Minor 20%,Per of Minor 20%,Avg of Minor Contri 20%,Num of Minor 50%,Per of Minor 50%,Avg of Minor Contri 50%,Days Difference,Release Info,Time Stage,Oss Stage,License Info,License Type
https://github.com/opencv/opencv/pull/8869,opencv,2017-06-08T08:29:25Z,opencv/modules/features2d/test/test_detectors_regression.cpp,file,0.3333333333333333,11,0,0.0,0,8,0.7272727272727273,0.055555555555555566,10,0.9090909090909091,0.06666666666666668,11,1.0,0.09090909090909091,2584,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive
https://github.com/opencv/opencv/pull/8869,opencv,2017-06-08T08:29:25Z,opencv/modules/features2d/test/test_rotation_and_scale_invariance.cpp,file,0.26666666666666666,15,10,0.6666666666666666,0.03333333333333333,12,0.8,0.03888888888888888,14,0.9333333333333333,0.052380952380952375,15,1.0,0.06666666666666667,2584,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive
https://github.com/opencv/opencv/pull/8869,opencv,2017-06-08T08:29:25Z,opencv/modules/features2d/test/test_descriptors_invariance.cpp,file,0.6666666666666666,2,0,0.0,0,0,0.0,0,0,0.0,0,1,0.5,0.3333333333333333,2584,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive
https://github.com/opencv/opencv/pull/8869,opencv,2017-06-08T08:29:25Z,opencv/modules/features2d/test/test_detectors_invariance.cpp,file,0.6666666666666666,2,0,0.0,0,0,0.0,0,0,0.0,0,1,0.5,0.3333333333333333,2584,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive
https://github.com/opencv/opencv/pull/8869,opencv,2017-06-08T08:29:25Z,opencv/modules/features2d/test/test_invariance_utils.hpp,file,1.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2584,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive
https://github.com/opencv/opencv/pull/8869,opencv,2017-06-08T08:29:25Z,opencv/modules/stitching/perf/opencl/perf_stitch.cpp,file,0.3333333333333333,3,0,0.0,0,0,0.0,0,0,0.0,0,3,1.0,0.3333333333333333,2584,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive
https://github.com/opencv/opencv/pull/8869,opencv,2017-06-08T08:29:25Z,opencv/modules/stitching/perf/perf_precomp.hpp,file,0.45454545454545453,5,0,0.0,0,3,0.6,0.0909090909090909,3,0.6,0.0909090909090909,5,1.0,0.2,2584,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive
https://github.com/opencv/opencv/pull/8869,opencv,2017-06-08T08:29:25Z,opencv/modules/stitching/perf/perf_stich.cpp,file,0.32432432432432434,16,11,0.6875,0.02702702702702703,14,0.875,0.03667953667953668,15,0.9375,0.04504504504504503,16,1.0,0.062499999999999986,2584,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive
https://github.com/opencv/opencv/pull/8869,opencv,2017-06-08T08:29:25Z,opencv/modules/stitching/src/matchers.cpp,file,0.29310344827586204,27,21,0.7777777777777778,0.013957307060755335,25,0.9259259259259259,0.023448275862068962,26,0.9629629629629629,0.027188328912466843,27,1.0,0.037037037037037035,2584,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive
https://github.com/opencv/opencv/pull/1890,opencv,2013-11-29T01:18:36Z,opencv/modules/ts/include/opencv2/ts.hpp,file,0.32142857142857145,8,4,0.5,0.03571428571428571,5,0.625,0.04285714285714285,5,0.625,0.04285714285714285,8,1.0,0.12499999999999999,1297,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive
